NO_OF_FRAMES	5823
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
178	0.59000	537.091	1531.531	897.248
179	0.59333	537.576	1531.065	897.015
180	0.59667	537.102	1531.490	897.334
181	0.60000	537.190	1531.510	897.299
182	0.60333	537.193	1531.491	897.261
183	0.60667	537.189	1531.489	897.324
184	0.61000	537.256	1531.504	897.334
185	0.61333	537.300	1531.508	897.309
186	0.61667	537.332	1531.462	897.316
187	0.62000	537.431	1531.479	897.251
188	0.62333	537.503	1531.488	897.265
189	0.62667	537.578	1531.503	897.251
190	0.63000	537.739	1531.491	897.232
191	0.63333	537.841	1531.507	897.177
192	0.63667	537.942	1531.527	897.123
193	0.64000	538.102	1531.549	897.043
194	0.64333	538.221	1531.580	896.995
195	0.64667	538.330	1531.590	896.946
196	0.65000	538.512	1531.628	896.909
197	0.65333	538.665	1531.655	896.795
198	0.65667	538.752	1531.665	896.790
199	0.66000	538.849	1531.691	896.750
200	0.66333	538.799	1531.712	896.900
201	0.66667	538.849	1531.709	896.917
202	0.67000	538.876	1531.716	896.949
203	0.67333	538.984	1531.730	896.913
204	0.67667	538.991	1531.742	896.914
205	0.68000	539.009	1531.736	896.904
206	0.68333	539.003	1531.686	896.946
207	0.68667	539.006	1531.724	896.905
208	0.69000	539.079	1531.730	896.920
209	0.69333	539.087	1531.754	896.924
210	0.69667	539.145	1531.742	896.899
211	0.70000	539.140	1531.732	896.945
212	0.70333	539.135	1531.760	896.939
213	0.70667	539.166	1531.757	896.975
214	0.71000	539.201	1531.759	897.019
215	0.71333	539.192	1531.772	897.042
216	0.71667	539.195	1531.763	897.096
217	0.72000	539.187	1531.807	897.092
218	0.72333	539.156	1531.764	897.127
219	0.72667	539.161	1531.786	897.189
220	0.73000	539.123	1531.784	897.230
221	0.73333	539.059	1531.751	897.339
222	0.73667	539.015	1531.740	897.365
223	0.74000	538.992	1531.715	897.423
224	0.74333	538.903	1531.704	897.462
225	0.74667	538.915	1531.670	897.548
226	0.75000	538.767	1531.647	897.593
227	0.75333	538.690	1531.584	897.669
