NO_OF_SAMPLES	23292
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
FIRST_SAMPLE	709
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11051M
FORCE_PLATE_CORNER_POSX_POSY_X	345.292211
FORCE_PLATE_CORNER_POSX_POSY_Y	2049.128056
FORCE_PLATE_CORNER_POSX_POSY_Z	-1.250600
FORCE_PLATE_CORNER_NEGX_POSY_X	741.362512
FORCE_PLATE_CORNER_NEGX_POSY_Y	2051.770926
FORCE_PLATE_CORNER_NEGX_POSY_Z	-0.121500
FORCE_PLATE_CORNER_NEGX_NEGY_X	745.330393
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1457.235217
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-0.422700
FORCE_PLATE_CORNER_POSX_NEGY_X	349.260181
FORCE_PLATE_CORNER_POSX_NEGY_Y	1454.592466
FORCE_PLATE_CORNER_POSX_NEGY_Z	-1.551900
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
709	0.59000	-0.138741	-1.117737	626.062500	-18.395508	5.876953	-0.117416	-9.387167	-29.382862	0.000000	
710	0.59083	-0.138649	-1.026611	625.312500	-18.307617	5.841064	-0.117279	-9.341033	-29.277549	0.000000	
711	0.59167	-0.228447	-1.207397	625.687500	-18.479492	5.944580	-0.008477	-9.500877	-29.534699	0.000000	
712	0.59250	-0.137238	-0.756805	626.406250	-18.451172	5.983398	-0.175835	-9.551946	-29.455600	0.000000	
713	0.59333	-0.136078	-0.486221	626.781250	-18.416016	5.842285	-0.191872	-9.321091	-29.381887	0.000000	
714	0.59417	-0.048679	-0.663635	623.531250	-18.544922	5.843262	-0.082394	-9.371241	-29.741768	0.000000	
715	0.59500	0.220764	-0.578308	627.500000	-18.368164	5.748535	-0.117699	-9.161012	-29.271975	0.000000	
716	0.59583	0.219658	-0.666290	625.312500	-18.499023	5.747314	-0.098721	-9.191108	-29.583646	0.000000	
717	0.59667	0.220169	-0.667847	626.781250	-18.320312	5.748535	-0.173309	-9.171517	-29.229197	0.000000	
718	0.59750	0.040886	-0.847626	626.406250	-18.403320	5.671143	-0.024587	-9.053458	-29.379209	0.000000	
719	0.59833	0.309708	-0.486267	625.687500	-18.460938	5.857178	-0.135933	-9.361187	-29.505044	0.000000	
720	0.59917	0.488602	-0.579407	627.906250	-18.323242	5.652100	-0.080612	-9.001502	-29.181494	0.000000	
