NO_OF_SAMPLES	23292
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
FIRST_SAMPLE	709
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11054M
FORCE_PLATE_CORNER_POSX_POSY_X	352.549016
FORCE_PLATE_CORNER_POSX_POSY_Y	543.362796
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.062500
FORCE_PLATE_CORNER_NEGX_POSY_X	749.105990
FORCE_PLATE_CORNER_NEGX_POSY_Y	544.287086
FORCE_PLATE_CORNER_NEGX_POSY_Z	-1.573700
FORCE_PLATE_CORNER_NEGX_NEGY_X	750.492156
FORCE_PLATE_CORNER_NEGX_NEGY_Y	-50.576698
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-1.149000
FORCE_PLATE_CORNER_POSX_NEGY_X	353.935093
FORCE_PLATE_CORNER_POSX_NEGY_Y	-51.500998
FORCE_PLATE_CORNER_POSX_NEGY_Z	-1.637900
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
709	0.59000	4.106934	10.874512	1.322876	-0.802612	0.217606	1.559937	0.000000	0.000000	0.000000	
710	0.59083	4.497559	10.555176	2.379028	-0.691467	0.004043	1.499695	0.000000	0.000000	0.000000	
711	0.59167	3.926270	10.877441	0.969360	-0.848663	-0.038761	1.506226	0.000000	0.000000	0.000000	
712	0.59250	3.836670	10.968262	0.260468	-0.943146	0.172508	1.470642	0.000000	0.000000	0.000000	
713	0.59333	3.649048	10.437988	-0.443634	-0.833221	0.237480	1.417114	0.000000	0.000000	0.000000	
714	0.59417	4.317871	10.737793	-0.087524	-0.916656	0.215195	1.446350	0.000000	0.000000	0.000000	
715	0.59500	4.240234	11.187012	-0.090527	-0.801300	-0.004188	1.517761	0.000000	0.000000	0.000000	
716	0.59583	3.744629	10.881348	-0.801453	-0.894867	0.240997	1.524841	0.000000	0.000000	0.000000	
717	0.59667	4.193359	10.697266	-0.447861	-0.795807	-0.028564	1.470947	0.000000	0.000000	0.000000	
718	0.59750	4.375000	10.873047	-1.512878	-0.756561	0.121197	1.489258	0.000000	0.000000	0.000000	
719	0.59833	4.015869	10.876953	0.260315	-0.893707	0.071869	1.542358	0.000000	0.000000	0.000000	
720	0.59917	4.462402	10.514648	0.615204	-0.878510	0.195045	1.596069	0.000000	0.000000	0.000000	
721	0.60000	3.874268	10.650879	-0.085777	-1.000977	0.090302	1.446350	0.000000	0.000000	0.000000	
