NO_OF_SAMPLES	23292
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
FIRST_SAMPLE	709
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11050M
FORCE_PLATE_CORNER_POSX_POSY_X	342.662692
FORCE_PLATE_CORNER_POSX_POSY_Y	2800.971985
FORCE_PLATE_CORNER_POSX_POSY_Z	0.414000
FORCE_PLATE_CORNER_NEGX_POSY_X	737.247348
FORCE_PLATE_CORNER_NEGX_POSY_Y	2802.518606
FORCE_PLATE_CORNER_NEGX_POSY_Z	2.509500
FORCE_PLATE_CORNER_NEGX_NEGY_X	739.585996
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2207.801819
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.981000
FORCE_PLATE_CORNER_POSX_NEGY_X	345.001310
FORCE_PLATE_CORNER_POSX_NEGY_Y	2206.255436
FORCE_PLATE_CORNER_POSX_NEGY_Z	-1.114400
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
709	0.59000	-0.450043	-0.353546	-3.616455	0.141403	-0.297348	0.038460	0.000000	0.000000	0.000000	
710	0.59083	-0.183990	-0.626617	-2.167358	-0.024144	-0.253021	-0.036186	0.000000	0.000000	0.000000	
711	0.59167	-0.272339	-0.445694	-1.806335	0.369156	-0.150101	-0.110405	0.000000	0.000000	0.000000	
712	0.59250	-0.807709	-0.079071	-1.807434	-0.044312	-0.277588	-0.073368	0.000000	0.000000	0.000000	
713	0.59333	-0.628387	-0.171402	-2.893311	-0.175339	-0.233856	-0.091461	0.000000	0.000000	0.000000	
714	0.59417	-0.542664	-0.621826	-2.890503	0.196518	-0.230034	-0.054420	0.000000	0.000000	0.000000	
715	0.59500	-0.899933	-0.347397	-1.805420	0.276276	-0.351959	0.019229	0.000000	0.000000	0.000000	
716	0.59583	-0.808929	-0.258804	-2.530273	0.094608	-0.240929	0.019514	0.000000	0.000000	0.000000	
717	0.59667	-0.269287	-0.176239	-2.894165	-0.041695	-0.042198	0.038176	0.000000	0.000000	0.000000	
718	0.59750	-0.182564	-0.446915	-1.806580	0.102879	-0.111088	-0.091888	0.000000	0.000000	0.000000	
719	0.59833	-0.717957	-0.080280	-1.807617	-0.044201	-0.060402	0.019230	0.000000	0.000000	0.000000	
720	0.59917	-0.630402	-0.351044	-2.168091	0.142967	-0.198883	0.000853	0.000000	0.000000	0.000000	
721	0.60000	-0.630402	-0.351044	-2.168091	-0.123425	-0.234520	0.037889	0.000000	0.000000	0.000000	
722	0.60083	-0.270508	-0.266037	-2.169556	0.006912	-0.328049	-0.017667	0.000000	0.000000	0.000000	
723	0.60167	-0.545074	-0.801422	-1.441223	0.249321	-0.302795	-0.036472	0.000000	0.000000	0.000000	
724	0.60250	-0.634521	-0.619385	-0.356110	0.022009	-0.093399	0.018510	0.000000	0.000000	0.000000	
725	0.60333	-0.629974	-0.351089	-2.892090	0.053289	-0.233681	-0.091461	0.000000	0.000000	0.000000	
726	0.60417	-1.077820	-0.165291	-1.806152	-0.130135	-0.180695	0.019230	0.000000	0.000000	0.000000	
727	0.60500	-0.090172	-0.088680	-0.723206	0.002304	-0.002439	-0.055275	0.000000	0.000000	0.000000	
728	0.60583	-0.361908	-0.444519	-2.168091	0.191010	-0.153053	0.000853	0.000000	0.000000	0.000000	
729	0.60667	-0.361099	-0.264740	-0.721313	0.186188	-0.048004	-0.073795	0.000000	0.000000	0.000000	
730	0.60750	-0.450455	-0.353516	-2.892578	-0.212906	-0.084396	-0.091461	0.000000	0.000000	0.000000	
731	0.60833	-0.902130	-0.616943	-2.165649	-0.025012	0.005079	-0.036186	0.000000	0.000000	0.000000	
732	0.60917	-0.628174	-0.171417	-3.255249	-0.086979	-0.055260	0.019799	0.000000	0.000000	0.000000	
733	0.61000	-0.362930	-0.534332	-1.805481	0.194771	-0.153381	-0.036329	0.000000	0.000000	0.000000	
734	0.61083	-0.902527	-0.616913	-1.441528	-0.068516	-0.031395	-0.054991	0.000000	0.000000	0.000000	
735	0.61167	-0.356247	0.184402	-2.172363	0.034657	-0.189308	-0.036184	0.000000	0.000000	0.000000	
736	0.61250	-0.446823	0.095764	-2.171631	0.037855	-0.299500	0.019373	0.000000	0.000000	0.000000	
737	0.61333	-0.451874	-0.353363	-0.358459	-0.120964	-0.122974	0.018660	0.000000	0.000000	0.000000	
738	0.61417	-0.267883	0.093407	-1.085999	0.172615	-0.151474	-0.018092	0.000000	0.000000	0.000000	
739	0.61500	-0.810760	-0.348541	-0.719604	-0.033039	-0.242943	0.037321	0.000000	0.000000	0.000000	
740	0.61583	-0.629822	-0.261185	-1.806702	0.362106	-0.270660	0.056267	0.000000	0.000000	0.000000	
741	0.61667	-0.632019	-0.530731	-2.166870	-0.116798	-0.305603	0.037889	0.000000	0.000000	0.000000	
742	0.61750	-0.357849	0.004709	-2.171143	-0.091930	-0.189125	-0.017666	0.000000	0.000000	0.000000	
743	0.61833	-0.272751	-0.445663	-1.082336	0.192467	-0.186569	-0.110691	0.000000	0.000000	0.000000	
744	0.61917	-0.627563	0.008379	-1.446472	-0.091362	-0.164444	-0.073509	0.000000	0.000000	0.000000	
745	0.62000	-0.450470	-0.173637	0.002325	0.183670	-0.230476	0.092594	0.000000	0.000000	0.000000	
746	0.62083	-0.719574	-0.259964	-1.806396	0.051214	-0.024590	0.056267	0.000000	0.000000	0.000000	
747	0.62167	-0.537811	0.097099	0.000713	-0.137161	-0.127220	-0.000000	0.000000	0.000000	0.000000	
748	0.62250	-0.361710	-0.444550	-2.530151	0.190567	-0.152626	-0.017525	0.000000	0.000000	0.000000	
749	0.62333	-0.629395	-0.261215	-2.530640	-0.082771	-0.234184	0.000996	0.000000	0.000000	0.000000	
750	0.62417	-0.274567	-0.625336	-0.719055	0.243927	-0.222443	-0.073799	0.000000	0.000000	0.000000	
751	0.62500	-1.076782	-0.075462	-2.168823	-0.222694	-0.322891	-0.017667	0.000000	0.000000	0.000000	
752	0.62583	-0.363129	-0.534302	-1.443481	-0.071178	-0.296341	0.111679	0.000000	0.000000	0.000000	
753	0.62667	-0.358459	0.004772	-1.085144	0.264618	-0.226021	-0.018093	0.000000	0.000000	0.000000	
754	0.62750	-0.809753	-0.258728	-1.082214	0.140793	-0.242615	-0.073654	0.000000	0.000000	0.000000	
755	0.62833	-0.360077	-0.174911	-1.083923	0.360031	-0.368378	0.000426	0.000000	0.000000	0.000000	
756	0.62917	-0.627167	0.098267	-0.723083	0.172623	-0.129738	0.000284	0.000000	0.000000	0.000000	
